sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
A1-A1z,23937,0.12484666311388258,-0.0914298935344238,0.045380571910602185,0.007388570641282043,-0.024378696391379802,0.017297432272445033,0.02475755676086115,-0.008646945789544532,-0.0
A1/A1cl-A1z,24973,-0.025986657946874225,0.37285663114508044,0.16083362482418395,0.011958829307044972,7.010836981269785e-05,-0.00014823287289751928,8.756510148600491e-05,0.0003991117556686694,-0.0
A1-A1du-A1z-A1ds-A1dr,24944,0.1253760983645276,-0.08651071241360692,0.031304837993389956,-0.02723488009015475,0.012022575211639406,-0.02162437067461018,0.010105227996721198,0.02174470411198018,-0.0
A1-A1dm,24017,0.12158227940034375,-0.09985176873624915,0.052775729038127765,0.050016466817077186,0.05833844954173468,0.00046552485830117534,-0.002933963496067177,-0.01105252540177778,-0.0
A1-A1dv-A1dw-A1dl,24018,0.04503186211439394,0.11909564578650492,-0.2572522169648445,0.14482875693564848,-0.0011707319787725877,0.0013451767814709615,0.0010719163299534814,0.0019362326024726974,-0.0
A1g/A1-A1l-A1cr-A1o-A1dp-A1p-A1dq-A1dn,24019,-0.7078302359231473,-0.08220217938221129,0.003874638023002254,-0.0010496281918935938,-0.0001517320772526489,0.00018511893039114093,0.00013220780417605977,0.00022008447097361542,-0.0
A1-A1z-A1do,24021,0.12497977605330501,-0.08981135895871054,0.04099112902257709,-0.0033915870181474308,-0.011432601975823423,0.03571264594462007,-0.017198111761167454,0.009779699292669083,-0.0
A1-A1ea,24022,0.12216839111251696,-0.10107521214856623,0.053824572416054074,0.050180845776988496,-0.03545254712443337,-0.030207541701989173,-0.013093314572435776,-0.008445883066173887,-0.0
A1-A1ds-A1z-A1dr-A1bh,24991,0.0698318237110523,0.05892884824218279,-0.1317328862630931,-0.23269737417784522,0.0021551764244745982,-0.00302575353773002,-0.0029290841635254256,-0.005934477976264463,-0.0
proportion_explained,0,0.5827547834022266,0.20665179606177092,0.11930866749050784,0.08075126640918727,0.0055123939220374715,0.0029533638500335146,0.0011955327876250871,0.0008721960766113663,0.0
