"Category"	"Pseudoaligned"	"Not aligned"
"M_18_3809_S6-P-ST-36B_D702-D506_L007_R1_001_val_1"	120	353
"M_18_3810_ES3-30A_D706-D506_L007_R1_001_val_1"	9942679	17697374
"M_18_3811_ES5-30A_D708-D506_L008_R1_001_val_1"	2043712	10304112
"M_18_3812_ES7-30A_D710-D506_L008_R1_001_val_1"	3159318	10756972
"M_18_3813_ES2-33A_D712-D506_L008_R1_001_val_1"	3971361	24764063
"M_18_3814_ES3-33A_D701-D507_L008_R1_001_val_1"	97	315
"M_18_3815_ES1-36A_D706-D507_L008_R1_001_val_1"	3052609	21988642
"M_18_3816_ES3-36A_D708-D507_L008_R1_001_val_1"	2820918	13947853
"M_18_3817_ES4-36A_D709-D507_L008_R1_001_val_1"	3270513	15040590
"M_18_3818_ES5-36A_D710-D507_L008_R1_001_val_1"	31268549	94709935
"M_18_3819_ES6-36A_D711-D507_L008_R1_001_val_1"	5475046	21789962
"M_18_3820_ES7-36A_D712-D507_L008_R1_001_val_1"	539079	11137941
