Site	Species	Temp	Replicate	Sample	Geno	PAM
ICN	Stylophora pistillata	30	A	ICN5-30	ICN5	596
ICN	Stylophora pistillata	30	A	ICN6-30	ICN6	590
ICN	Stylophora pistillata	30	A	ICN7-30	ICN7	592
ICN	Stylophora pistillata	33	A	ICN1-33	ICN1	341
ICN	Stylophora pistillata	33	A	ICN2-33	ICN2	477
ICN	Stylophora pistillata	33	A	ICN3-33	ICN3	452
ICN	Stylophora pistillata	33	A	ICN4-33	ICN4	316
ICN	Stylophora pistillata	33	A	ICN5-33	ICN5	463
ICN	Stylophora pistillata	33	A	ICN6-33	ICN6	521
ICN	Stylophora pistillata	33	A	ICN7-33	ICN7	495
ICN	Stylophora pistillata	36	A	ICN1-36	ICN1	125
ICN	Stylophora pistillata	36	A	ICN2-36	ICN2	113
ICN	Stylophora pistillata	36	A	ICN3-36	ICN3	128
ICN	Stylophora pistillata	36	A	ICN4-36	ICN4	72
ICN	Stylophora pistillata	36	A	ICN5-36	ICN5	77
ICN	Stylophora pistillata	36	A	ICN6-36	ICN6	110
ICN	Stylophora pistillata	36	A	ICN7-36	ICN7	89
ICN	Stylophora pistillata	39	A	ICN1-39	ICN1	53
ICN	Stylophora pistillata	39	A	ICN2-39	ICN2	73
ICN	Stylophora pistillata	39	A	ICN3-39	ICN3	23
ICN	Stylophora pistillata	39	A	ICN4-39	ICN4	33
ICN	Stylophora pistillata	39	A	ICN5-39	ICN5	136
ICN	Stylophora pistillata	39	A	ICN6-39	ICN6	55
ICN	Stylophora pistillata	39	A	ICN7-39	ICN7	142
