"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic1"	0.00438669788823116	-1.05238291091817e-08	0.00144269503530672	1
"Smic2"	0.537113209360763	1.93011634380012e-07	0.00144269337730642	1
"Smic4"	139.911923542894	-5.28653876961213e-07	0.00144261090063403	1
"Smic5"	68.0137087443952	1.91479648764664e-07	0.00144268237847363	1
"Smic6"	14.6723283757081	3.69437953525197e-06	0.00144267388978557	1
"Smic7"	32.9735194458601	9.89974662463606e-07	0.00144266123083921	1
"Smic8"	56.996201301235	3.61195412293399e-07	0.00144268632434141	1
"Smic9"	5.97955922213543	-1.04117414437972e-06	0.00144268227249544	1
"Smic10"	86.0504347135237	-1.27002997622086e-06	0.00144263412293193	1
"Smic11"	42.6551254004753	-3.65161955798369e-06	0.00144264998048537	1
"Smic12"	147.142051063516	-2.63338443645715e-06	0.00144262904887264	1
"Smic13"	29.4851484574058	2.83336786582082e-07	0.00144267084821214	1
"Smic14"	15.1323854458475	1.12872946820115e-06	0.00144268458395409	1
"Smic15"	198.793756078879	2.4707084771126e-06	0.00144263766790508	1
"Smic16"	32.823310689542	7.30138070753738e-07	0.00144263866434998	1
"Smic17"	61.8732714369669	-6.48677742119372e-07	0.00144267396907022	1
"Smic18"	111.683281527333	3.24447005840661e-08	0.00144269292570076	1
"Smic19"	6.66468605935559	3.12815504850537e-07	0.00144269285083321	1
"Smic23"	60.8715587344354	1.26549683697148e-06	0.00144266904665562	1
"Smic24"	151.447187978544	-2.7377988158458e-08	0.00144268015953726	1
"Smic25"	56.3409097242108	-5.28921938896009e-07	0.00144265993945001	1
"Smic26"	70.3269345692251	3.79521402062954e-06	0.00144262593562734	1
"Smic27"	19.3744439096694	-2.60834143937604e-06	0.00144266700254787	1
"Smic28"	273.837236351167	-1.93438405093943e-06	0.00144260047241487	1
"Smic29"	83.8584124198639	-3.2886762367226e-06	0.00144264883294868	1
"Smic30"	33.469315203312	-8.60672210524249e-07	0.00144268138115111	1
"Smic31"	62.2053163824466	-1.3588093281343e-06	0.00144265803195011	1
"Smic32"	25.6098460258257	1.03893349573708e-06	0.00144267348301442	1
"Smic33"	10.7054186817729	-9.3343199026462e-06	0.00144267668447179	1
"Smic34"	593.543968930713	-1.77119425059745e-06	0.0014426605778483	1
"Smic35"	11.349375484214	-2.79420222693844e-06	0.0014426787937334	1
"Smic36"	187.448034027873	-4.81681095191372e-07	0.00144264944810982	1
"Smic37"	15.3302833373252	-3.16865451684906e-06	0.00144266266292328	1
"Smic38"	9.72302501632773	-2.39535405968881e-06	0.00144268381520457	1
"Smic40"	74.0054685660269	-4.75694817004479e-06	0.00144265823960614	1
"Smic41"	122.240494312819	-5.74357725324812e-06	0.00144263133396519	1
"Smic42"	50.2228333213244	9.15702746615635e-07	0.00144266597848393	1
"Smic43"	55.2194944558714	-2.09396754466133e-06	0.00144265317830759	1
"Smic44"	0.491841225491819	1.24452560020638e-07	0.00144269289343338	1
"Smic45"	78.2930865690702	-2.27688331299889e-06	0.00144266876502741	1
"Smic48"	107.44238709165	-9.38857296474223e-07	0.00144267534557716	1
"Smic49"	19.8268625588402	-9.84066223718694e-07	0.00144267309199812	1
"Smic50"	5.57172971571068	-3.27118658501683e-06	0.00144268629043159	1
"Smic51"	13.2097370978431	-1.52736448265413e-07	0.00144267432799327	1
"Smic52"	2.78330132709734	-9.51101270545148e-07	0.0014426872526693	1
"Smic54"	37.2467361809362	6.97004483661449e-06	0.00144264923250154	1
"Smic55"	12.0726745274123	-9.55221334642143e-07	0.00144268235833487	1
"Smic56"	0.940960718267433	-5.47776564656302e-07	0.00144269354767484	1
"Smic57"	42.8718854612132	4.08167601831466e-07	0.00144266927285848	1
"Smic59"	4.15428882084815	-2.51646234073053e-06	0.00144268977395159	1
"Smic60"	34.0003148850241	2.81298829645073e-06	0.00144265000832599	1
"Smic61"	27.960522851059	-1.80780542797423e-06	0.00144267132410833	1
"Smic62"	30.2880495664225	-2.58808801873733e-06	0.0014426677470233	1
"Smic63"	16.9216540619448	1.62388443959664e-06	0.00144267885067256	1
"Smic67"	3.50442945298945	-1.17224855642658e-06	0.00144268799510472	1
"Smic68"	15.6907178090669	-2.16835234442083e-06	0.00144268058731649	1
"Smic69"	9.93215428869137	-8.98515424684767e-07	0.00144268300862864	1
"Smic70"	31.6712308149037	-2.94149434787162e-06	0.00144267422872025	1
