"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic3262"	2500.06636828082	7.17695896126607	0.45591235925819	3.49548633341811e-30
"Smic35478"	358.839347989578	3.95596956526955	0.234095553813638	1.62983708672939e-17
"Smic40829"	1267.76906708065	4.02602921137534	0.248865598862814	7.61721536672353e-17
"Smic21447"	2798.45997849991	6.05415843768573	0.522722135719936	1.15398484950802e-15
"Smic33352"	404.62714834834	3.69109456364937	0.218106213489657	1.81686628502297e-15
"Smic30347"	13.7382734449652	5.42418132839188	0.451145974586042	4.18069229269284e-15
"Smic41734"	129.562950692163	3.78738278984487	0.244305969066734	2.18090092337874e-14
"Smic14411"	263.018958026544	3.87801027858211	0.26758673315798	1.59424161913889e-13
"Smic39895"	218.897738575782	3.39675744024309	0.203721947845719	5.34592217618075e-13
"Smic4164"	8.47428349741199	6.46487808712974	0.656195063510046	9.89217935961287e-13
"Smic37528"	40.0290374788498	4.3037835205075	0.356557329892087	5.62133312194047e-12
"Smic33519"	18.4363150651799	5.69626855999944	0.580563757072398	1.32009287900982e-11
"Smic19060"	63.4421763483605	4.5912617438941	0.413919376116364	2.69633202636241e-11
"Smic42618"	188.173481331662	5.03626301857577	0.494627131137374	5.47910389114835e-11
"Smic3627"	186.998706579903	3.46898022792363	0.240674292962727	8.57062956907184e-11
"Smic3973"	24.4849383534998	4.72145195721169	0.449553386113634	1.24591672866157e-10
"Smic38041"	22.4863731583764	4.92458460884592	0.485067623519335	1.65716273788467e-10
"Smic9238"	560.443803246517	3.92881654503494	0.322384994863439	2.17376071268551e-10
"Smic27647"	21.9688917551483	5.81638195412122	0.641690989884033	2.77636204841965e-10
"Smic2332"	49.3258599973407	3.93201578918329	0.325959108945258	3.40803301388766e-10
"Smic35843"	49.4436907569001	4.35256841554124	0.397871744165189	4.04616084338218e-10
"Smic12167"	126.935350871284	3.54204124122075	0.262023093846516	4.76617528207121e-10
"Smic38099"	13.0463739872406	5.05193982348145	0.519544684306827	5.48229796035232e-10
"Smic37340"	82.9012647828594	4.19469212843275	0.375174514023613	6.27927297794115e-10
"Smic17898"	5.10263137900846	6.28602379121746	0.734120027657865	7.08273140677864e-10
"Smic27711"	194.966957855878	3.46994855033143	0.25370399640744	8.13242407379868e-10
"Smic28717"	120.479721473871	6.45130480237355	0.768299314274194	9.10617806477907e-10
"Smic35456"	33.5715965945908	4.81515207315349	0.495807668378191	1.1215764641321e-09
"Smic29682"	73.873168183275	3.98472401580985	0.3495748343575	1.31850153198902e-09
"Smic48105"	27.8628905005664	4.54048126603222	0.447750352242843	1.50721790352353e-09
"Smic363"	326.788655096868	3.16122657692985	0.206834758194948	1.77697150160724e-09
"Smic32004"	16.1007218971463	4.28119801872051	0.414239711670249	2.29191099659494e-09
"Smic40834"	11.8898856420414	6.17202657584648	0.762926032752672	2.91030101235243e-09
"Smic6770"	8.34475987365849	6.56184998325804	0.834241562918921	3.49304839691764e-09
"Smic37563"	49.7826039834833	3.50319706671368	0.275400709600571	4.08030041312873e-09
"Smic41412"	401.549657280802	6.16575897497127	0.763412126972948	4.64042140888078e-09
"Smic9682"	61.2044948281443	3.91805776995426	0.351574807707475	5.17450287735989e-09
"Smic5887"	22.1756667307111	5.28007348944573	0.604796885243374	5.80762335055444e-09
"Smic23730"	15.3529240932408	5.30776145790242	0.618858325404863	6.81827828020191e-09
"Smic14615"	288.619630904006	3.29718811145803	0.243249246701528	7.85700804389386e-09
"Smic19564"	14.9330569238508	7.10571928402558	0.959086650924433	8.9065554709611e-09
"Smic25065"	104.098298587043	3.79970753009535	0.339763261683644	1.00963485185817e-08
"Smic46159"	24.2873230324923	3.95141671615772	0.368685932478596	1.12614758390356e-08
"Smic17696"	19.5917579431298	4.81928986237117	0.53362088630362	1.24471645536812e-08
"Smic23425"	31.0981122187615	4.59293852505853	0.493006445149707	1.37760457739202e-08
"Smic386"	99.5869191123122	4.23324541718841	0.428410312132192	1.54977135555731e-08
"Smic4659"	750.753973168126	-5.27133700805448	0.637220096052271	1.81893107135231e-08
"Smic1891"	26.9497090081353	3.99339808569764	0.390989712529109	2.13796047562909e-08
"Smic10716"	130.714324249848	3.39477587594653	0.275392087883525	2.5117398078509e-08
"Smic8671"	12.9937273147325	4.45472032421859	0.485741100975702	2.8951619048431e-08
"Smic36832"	52.8250068320832	3.49240825430309	0.295510563286449	3.27092841186092e-08
"Smic17626"	16.7300849211162	4.15596640246053	0.429364057545271	3.70151166256105e-08
"Smic31101"	7.16570504860356	5.4690225137569	0.695910060230211	4.21660458709174e-08
"Smic20982"	36.1551917391086	4.57672576440831	0.519011158424736	4.77568088780898e-08
"Smic40365"	640.969449778233	-4.32666288679391	0.469989063186304	5.36191944220975e-08
"Smic1975"	8.46830663313655	5.38004068104088	0.68639757101133	6.02201545343386e-08
"Smic39002"	15.905260395874	5.46606958768158	0.704240584114526	6.66891204676857e-08
"Smic13037"	10.961276700948	4.85620018559654	0.584259279823918	7.42948422473275e-08
"Smic43601"	16.625919116881	5.94861373263678	0.808539606467079	8.18616129964002e-08
"Smic37382"	27.7770745644678	3.53970224005005	0.315327615915454	8.92101989833182e-08
"Smic3214"	26.20788377016	3.79967786352207	0.371508012379557	9.81649930434295e-08
"Smic33567"	6.0260282053789	5.3055433576307	0.68385784240555	1.07391242730642e-07
"Smic32000"	74.6165677829874	3.51045158011752	0.313944216407581	1.17592907507398e-07
"Smic18035"	20.1070592028597	3.94290001041041	0.404553366104068	1.27992549807352e-07
"Smic42117"	84.4540365775848	3.82717080350599	0.380787683208194	1.38326497941207e-07
"Smic11837"	8.73698553753799	4.98269561634664	0.637396928766482	1.58017206067711e-07
"Smic5489"	11.8449291313247	4.37364464494709	0.508681631655644	1.7854830085383e-07
"Smic18643"	152.498570292459	3.24509756255557	0.267172989081047	1.99143097907422e-07
"Smic9858"	19.5922739788584	3.99399555988932	0.428064194788815	2.19375338944175e-07
"Smic8479"	17.2591081248673	4.89471851198474	0.622252779777644	2.39722456752848e-07
"Smic11701"	10.1504866763114	5.69907266223188	0.797423542927582	2.61027160499564e-07
"Smic18578"	5.23040326964003	5.67828669731844	0.793712406736419	2.82275351313686e-07
"Smic27456"	32.0221686638717	3.72183301683864	0.371819056914288	3.03353259562013e-07
"Smic38360"	15.4946352085324	4.47935076812616	0.535479001700907	3.23942549268695e-07
"Smic13879"	130.588212782356	3.6142474759463	0.34886406559868	3.44338401566705e-07
"Smic13180"	11.3995282022799	8.77578148360472	1.46524526671473	3.64531738701786e-07
"Smic37702"	12.0728163903416	4.68376742914635	0.580663055300647	3.84488379277593e-07
"Smic4378"	11.0671103386975	4.36627624311385	0.513610031473137	4.05727886126941e-07
